REG0,REG1,REG2,REG3,REG4,REG5,REG6
255,255,0,24,255,32,85,
0,255,0,28,14,33,84,
0,255,0,16,15,32,84,
0,0,0,20,16,33,84,
0,0,0,24,2,32,85,
0,0,0,16,0,32,85,
0,0,0,20,16,33,84,
0,0,0,24,1,32,85,
0,255,0,28,15,33,85,
0,0,255,16,0,47,85,
0,255,0,24,15,33,84,
255,0,0,28,208,32,86,
0,255,0,16,29,32,85,
0,255,0,20,15,32,85,
0,255,0,24,15,32,84,
0,255,0,16,29,32,85,
0,0,0,20,0,32,85,
255,255,0,24,254,32,84,
255,0,255,28,208,47,85,
0,0,0,16,0,32,85,
0,0,255,24,33,47,85,
0,0,0,28,18,32,85,
255,0,0,16,225,33,85,
255,255,0,20,223,32,84,
0,0,255,24,1,47,84,
255,255,0,16,255,32,85,
0,0,0,20,17,32,84,
0,255,0,24,31,32,84,
0,0,0,28,32,32,84,
0,0,0,16,33,32,84,
0,255,0,24,14,33,85,
0,255,255,28,30,47,84,
255,255,255,16,237,47,85,
0,0,255,20,0,47,84,
0,0,0,24,33,32,84,
0,255,0,16,13,33,85,
255,255,0,20,221,32,84,
0,0,0,24,2,32,85,
255,255,0,28,239,32,85,
0,255,0,16,13,32,85,
0,255,0,24,15,33,84,
255,255,0,28,255,33,84,
255,0,0,16,240,32,84,
255,255,0,20,206,33,85,
0,255,0,24,30,32,85,
0,0,0,16,32,32,84,
255,255,255,20,206,47,84,
255,255,0,24,255,32,84,
0,255,0,28,14,33,85,
0,255,0,16,15,32,84,
0,0,255,24,16,47,84,
255,255,0,28,222,32,85,
0,255,0,16,15,33,84,
255,255,0,20,254,33,85,
255,0,0,24,240,33,85,
0,255,0,16,31,34,84,
0,0,0,20,0,32,85,
0,255,0,24,14,33,84,
0,0,0,28,0,33,84,
255,0,0,16,242,32,85,
0,0,0,24,32,32,85,
0,0,0,28,0,32,85,
255,0,0,16,240,32,84,
255,255,0,20,253,32,84,
255,0,0,24,208,32,85,
0,255,0,16,47,32,85,
255,255,0,20,255,33,84,
0,0,255,24,16,47,85,
0,0,0,28,17,32,85,
255,0,255,16,241,47,85,
0,0,0,24,16,32,85,
255,0,0,28,225,32,85,
0,0,0,16,16,32,84,
0,255,0,20,31,32,85,
0,0,0,24,1,32,85,
0,255,0,16,15,32,84,
0,255,0,20,15,33,84,
0,255,0,24,31,33,85,
255,0,0,28,240,33,84,
0,255,0,16,15,32,85,
0,0,0,24,16,32,84,
255,255,0,28,239,32,85,
0,255,0,16,31,32,85,
0,0,0,20,16,33,84,
0,255,255,24,47,47,84,
255,255,0,16,254,32,86,
255,0,0,20,240,32,85,
0,0,0,24,0,33,85,
0,255,255,28,15,47,84,
255,255,255,16,255,47,85,
0,0,0,24,16,32,84,
0,255,0,28,14,32,84,
255,0,255,16,241,47,85,
255,255,255,20,221,47,85,
255,0,255,24,240,47,85,
0,255,0,16,29,32,85,
255,255,0,20,254,32,85,
0,0,0,24,16,32,84,
0,0,255,28,33,47,85,
0,0,0,16,0,32,85,
