Current,REG0,REG1,REG2,REG3,REG4,REG5,REG6
0.025,255,255,0,16,237,33,96,
0.025,0,0,0,20,0,32,95,
0.025,0,0,0,24,18,33,94,
0.025,0,255,0,28,30,33,96,
0.025,0,0,0,16,17,32,95,
0.025,255,255,0,20,254,32,96,
0.025,255,0,0,24,224,32,94,
0.025,0,255,255,28,15,47,95,
0.025,0,0,0,16,1,32,95,
0.025,0,255,0,20,13,32,95,
0.025,0,255,0,24,15,32,96,
0.025,255,255,0,28,254,32,95,
0.025,0,255,0,16,15,32,95,
0.025,0,0,255,20,16,47,94,
0.025,0,0,0,24,17,32,95,
0.025,255,255,0,28,221,32,95,
0.025,0,255,255,16,14,47,96,
0.025,0,255,255,20,15,47,95,
0.025,255,0,0,24,208,32,95,
0.025,0,255,0,28,15,32,95,
0.025,0,0,0,16,0,32,96,
0.025,255,255,0,20,239,33,94,
0.025,0,255,255,24,15,47,96,
0.025,0,0,255,28,1,47,95,
0.025,255,0,0,16,226,32,94,
0.025,255,255,255,20,253,47,95,
0.025,255,255,0,24,238,32,95,
0.025,0,0,0,28,0,32,95,
0.025,0,0,255,16,1,47,95,
0.025,0,255,0,20,31,32,94,
0.025,0,0,0,24,17,32,96,
0.025,0,255,255,28,31,47,95,
0.025,255,255,0,16,238,32,95,
0.025,255,255,255,20,254,47,95,
0.025,0,255,0,24,13,32,95,
0.025,255,0,0,28,241,32,95,
0.025,0,255,0,16,63,32,97,
0.025,0,0,0,20,32,32,95,
0.025,0,255,255,24,15,47,95,
0.025,0,0,255,28,64,47,94,
0.025,255,255,0,16,254,32,95,
0.025,0,255,0,20,15,33,96,
0.025,0,0,0,24,1,32,95,
0.025,255,0,0,28,241,32,94,
0.025,0,0,0,16,16,33,95,
0.025,0,0,0,20,32,33,96,
0.025,0,0,255,24,49,46,95,
0.025,0,255,0,28,15,33,94,
0.025,0,255,0,16,28,32,95,
0.025,0,255,0,20,31,32,95,
0.045,0,0,0,16,18,33,95,
0.045,0,0,0,20,1,32,95,
0.045,255,0,255,24,242,47,96,
0.045,0,0,0,28,19,32,95,
0.045,255,0,0,16,210,32,95,
0.045,0,255,0,20,15,32,95,
0.045,0,0,0,24,1,32,95,
0.045,255,0,0,28,240,32,94,
0.045,255,0,0,16,227,32,95,
0.045,0,0,0,20,16,32,96,
0.045,0,0,0,24,1,32,95,
0.045,0,0,0,28,2,32,97,
0.045,255,255,0,16,239,32,95,
0.045,0,0,0,20,18,32,96,
0.045,255,0,0,24,224,32,95,
0.045,0,0,0,28,17,32,95,
